Accuracy,Engagement,HasProfile,TweetID,Condition,SubjectID,Political View,Trust Tweet,Photoshop,Timing,FPTiming
Very Inaccurate (1),No Engagement,Yes,2,2,327,Slightly Liberal,Neutral   5,"No, I've never used it",30.48,8.855
Very Inaccurate (1),No Engagement,Yes,1,2,328,Prefer not to say,Untrustworthy 1,"Yes, somewhat experienced",1.884,2.539
Very Inaccurate (1),No Engagement,Yes,3,2,329,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",5.049,4.231
Very Inaccurate (1),No Engagement,Yes,3,2,330,Very Liberal,Neutral   5,"Yes, very experienced",3.625,0.695
Very Inaccurate (1),No Engagement,Yes,1,2,331,Slightly Conservative,2,"No, I've never used it",2.582,5.172
Somewhat Inaccurate (2),No Engagement,Yes,2,2,332,Slightly Liberal,Neutral   5,"No, I've never used it",6.109,0
Very Inaccurate (1),No Engagement,Yes,1,2,333,Slightly Liberal,Neutral   5,"No, I've never used it",2.486,0
Very Inaccurate (1),No Engagement,Yes,3,2,334,Slightly Liberal,7,"Yes, somewhat experienced",49.136,12.125
Very Accurate (5),External Share,Yes,1,2,335,Slightly Liberal,Neutral   5,"No, I've never used it",9.336,0
Very Accurate (5),No Engagement,Yes,3,2,336,Slightly Liberal,6,"Yes, somewhat experienced",7.508,0
Somewhat Inaccurate (2),No Engagement,Yes,3,2,337,Very Conservative,3,"Yes,  but I just started using it",2.071,0
Somewhat Inaccurate (2),No Engagement,Yes,3,2,338,Prefer not to say,Untrustworthy 1,"No, I've never used it",2.102,0
Somewhat Inaccurate (2),Retweet,Yes,1,2,339,Slightly Liberal,4,"Yes, somewhat experienced",43.511,61.267
Neither Accurate nor Inaccurate (3),External Share,Yes,2,2,340,Slightly Conservative,3,"Yes, somewhat experienced",5.984,5.419
Somewhat Accurate (4),No Engagement,Yes,2,2,341,Very Liberal,7,"Yes, somewhat experienced",2.816,0
Somewhat Accurate (4),No Engagement,Yes,2,2,342,Prefer not to say,Neutral   5,"Yes,  but I just started using it",63.62,29.206
Very Inaccurate (1),No Engagement,Yes,2,2,343,Slightly Liberal,Neutral   5,"No, I've never used it",19.388,62.409
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,2,344,Slightly Liberal,Neutral   5,"No, I've never used it",2.452,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,1,Very Liberal,6,"No, I've never used it",7.214,0
Somewhat Inaccurate (2),No Engagement,No,3,3,2,Slightly Conservative,2,"Yes, somewhat experienced",8.135,0
Somewhat Inaccurate (2),No Engagement,No,1,3,3,Slightly Liberal,4,"Yes,  but I just started using it",3.533,0
Somewhat Inaccurate (2),Reply,No,3,3,4,Prefer not to say,Neutral   5,"Yes, somewhat experienced",6.385,5.151
Somewhat Inaccurate (2),No Engagement,No,2,3,5,Prefer not to say,Neutral   5,"Yes,  but I just started using it",22.725,27.618
Somewhat Inaccurate (2),No Engagement,No,1,3,6,Slightly Liberal,7,"Yes,  but I just started using it",27.292,14.193
Somewhat Inaccurate (2),No Engagement,No,3,3,7,Slightly Conservative,Neutral   5,"No, I've never used it",6.982,2.088
Somewhat Inaccurate (2),No Engagement,No,3,3,8,Very Conservative,4,"No, I've never used it",6.865,0
Somewhat Accurate (4),Like,No,2,3,9,Very Liberal,3,"Yes, somewhat experienced",2.6,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,10,Prefer not to say,2,"Yes, very experienced",10.347,8.266
Very Inaccurate (1),No Engagement,No,3,3,11,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",5.237,0
Very Accurate (5),Like,No,1,3,12,Very Liberal,9,"Yes, somewhat experienced",31.161,3.314
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,13,Slightly Liberal,6,"Yes, somewhat experienced",7.578,1.401
Somewhat Inaccurate (2),No Engagement,No,2,3,14,Very Liberal,6,"No, I've never used it",23.155,5.265
Neither Accurate nor Inaccurate (3),No Engagement,No,3,3,15,Slightly Liberal,4,"Yes,  but I just started using it",7.295,8.035
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,16,Slightly Liberal,Untrustworthy 1,"Yes, very experienced",3.264,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,17,Slightly Liberal,Neutral   5,"No, I've never used it",1.294,0
Somewhat Accurate (4),No Engagement,No,2,3,18,Very Liberal,7,"Yes, somewhat experienced",11.006,1.499
Very Inaccurate (1),No Engagement,No,3,3,19,Very Liberal,Untrustworthy 1,"Yes, somewhat experienced",16.9,18.016
Somewhat Inaccurate (2),No Engagement,No,3,3,20,Very Conservative,Neutral   5,"Yes, very experienced",1.696,0
Very Inaccurate (1),No Engagement,No,1,3,21,Very Liberal,3,"Yes, somewhat experienced",7.008,3.086
Very Inaccurate (1),No Engagement,No,2,3,22,Very Liberal,Neutral   5,"No, I've never used it",1.733,6.186
Somewhat Inaccurate (2),No Engagement,No,1,3,23,Very Liberal,Neutral   5,"No, I've never used it",15.727,2.553
Somewhat Inaccurate (2),No Engagement,No,2,3,24,Slightly Liberal,6,"No, I've never used it",3.58,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,25,Slightly Liberal,Untrustworthy 1,"Yes,  but I just started using it",17.713,3.007
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,26,Slightly Conservative,4,"Yes, somewhat experienced",3.962,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,27,Slightly Conservative,Neutral   5,"No, I've never used it",4.261,7.521
Very Inaccurate (1),No Engagement,No,3,3,28,Prefer not to say,Neutral   5,"Yes, somewhat experienced",2.063,0
Very Inaccurate (1),No Engagement,No,2,3,29,Slightly Conservative,6,"Yes,  but I just started using it",9.122,8.53
Very Inaccurate (1),No Engagement,No,3,3,30,Very Liberal,Neutral   5,"Yes, somewhat experienced",9.247,5.024
Somewhat Inaccurate (2),No Engagement,No,2,3,31,Very Liberal,6,"No, I've never used it",1.329,0
Somewhat Inaccurate (2),No Engagement,No,3,3,32,Very Liberal,Neutral   5,"No, I've never used it",2.757,0
Very Inaccurate (1),No Engagement,No,3,3,33,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",30.56,1.455
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,34,Slightly Conservative,Neutral   5,"No, I've never used it",4.39,1.983
Neither Accurate nor Inaccurate (3),Like,No,2,3,35,Slightly Liberal,4,"Yes, somewhat experienced",5.066,0
Somewhat Inaccurate (2),No Engagement,No,2,3,36,Slightly Liberal,6,"Yes, somewhat experienced",25.28,7.751
Somewhat Accurate (4),No Engagement,No,1,3,37,Slightly Liberal,3,"No, I've never used it",13.575,9.149
Somewhat Inaccurate (2),No Engagement,No,3,3,38,Very Conservative,7,"Yes, very experienced",8.624,0
Somewhat Accurate (4),Like,No,1,3,39,Very Conservative,Neutral   5,"No, I've never used it",27.796,7.353
Very Inaccurate (1),No Engagement,No,1,3,40,Slightly Liberal,7,"Yes, somewhat experienced",6.341,1.175
Somewhat Accurate (4),No Engagement,No,1,3,41,Slightly Liberal,Neutral   5,"No, I've never used it",2.864,2.847
Somewhat Accurate (4),No Engagement,No,3,3,42,Very Liberal,8,"No, I've never used it",2.488,4.762
Somewhat Inaccurate (2),No Engagement,No,1,3,43,Slightly Conservative,3,"Yes, very experienced",2.128,5.097
Somewhat Inaccurate (2),No Engagement,No,2,3,44,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",5.416,0
Somewhat Accurate (4),Like,No,2,3,45,Very Liberal,7,"Yes, somewhat experienced",2.357,0
Somewhat Inaccurate (2),No Engagement,No,3,3,46,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",5.2,1.266
Somewhat Accurate (4),No Engagement,No,1,3,47,Slightly Liberal,Untrustworthy 1,"No, I've never used it",16.422,8.835
Somewhat Inaccurate (2),No Engagement,No,1,3,48,Very Liberal,9,"No, I've never used it",4.447,0
Very Inaccurate (1),No Engagement,No,3,3,49,Slightly Liberal,7,"Yes, very experienced",3.704,1.168
Very Inaccurate (1),Reply,No,3,3,50,Very Liberal,7,"Yes, somewhat experienced",9.01,11.386
Very Inaccurate (1),No Engagement,No,3,3,51,Slightly Liberal,Neutral   5,"No, I've never used it",1.777,1.767
Very Inaccurate (1),No Engagement,No,2,3,52,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",10.527,3.41
Somewhat Inaccurate (2),No Engagement,No,2,3,53,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",5.502,1.533
Somewhat Accurate (4),No Engagement,No,1,3,54,Very Conservative,Neutral   5,"No, I've never used it",2.032,0
Neither Accurate nor Inaccurate (3),No Engagement,No,3,3,55,Slightly Conservative,Neutral   5,"No, I've never used it",12.282,11.219
Very Inaccurate (1),No Engagement,No,1,3,56,Slightly Liberal,8,"Yes,  but I just started using it",19.403,8.187
Somewhat Inaccurate (2),No Engagement,No,3,3,57,Slightly Liberal,3,"Yes, somewhat experienced",6.098,2.193
Somewhat Inaccurate (2),No Engagement,No,1,3,58,Prefer not to say,4,"No, I've never used it",29.109,6.849
Somewhat Accurate (4),No Engagement,No,2,3,59,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",6.391,0
Very Inaccurate (1),No Engagement,No,3,3,60,Slightly Liberal,4,"No, I've never used it",3.031,0
Very Inaccurate (1),No Engagement,No,3,3,61,Very Liberal,2,"No, I've never used it",11.952,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,62,Slightly Conservative,2,"No, I've never used it",23.47,0
Very Inaccurate (1),No Engagement,No,2,3,63,Very Liberal,7,"Yes, somewhat experienced",8.132,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,64,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",6.977,0.952
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,65,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",5.318,9.218
Somewhat Accurate (4),Like,No,3,3,66,Slightly Conservative,6,"Yes, somewhat experienced",1.696,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,67,Slightly Liberal,2,"No, I've never used it",5.008,1.209
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,68,Very Liberal,4,"Yes,  but I just started using it",4.152,0
Neither Accurate nor Inaccurate (3),No Engagement,No,3,3,69,Slightly Liberal,9,"Yes, somewhat experienced",31.325,2.602
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,70,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",2.878,0
Very Inaccurate (1),No Engagement,No,1,3,71,Slightly Liberal,3,"Yes, somewhat experienced",22.33,7.19
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,72,Prefer not to say,Neutral   5,Prefer not to say,1.762,0
Somewhat Accurate (4),No Engagement,No,2,3,73,Slightly Conservative,6,"No, I've never used it",37.796,13.686
Very Inaccurate (1),No Engagement,No,3,3,74,Slightly Liberal,3,"Yes, somewhat experienced",4.799,2.98
Very Accurate (5),No Engagement,No,2,3,75,Slightly Liberal,Trustworthy 10,"Yes,  but I just started using it",17.496,12.171
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,76,Slightly Liberal,Neutral   5,"No, I've never used it",23.794,12.106
Somewhat Inaccurate (2),No Engagement,No,1,3,77,Slightly Liberal,Neutral   5,"No, I've never used it",3.837,0
Somewhat Inaccurate (2),No Engagement,No,1,3,78,Slightly Liberal,4,"Yes, somewhat experienced",2.583,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,79,Slightly Liberal,Neutral   5,"No, I've never used it",1.952,0
Somewhat Accurate (4),Retweet,No,2,3,80,Prefer not to say,7,"No, I've never used it",5.199,0
Somewhat Inaccurate (2),No Engagement,No,1,3,81,Very Liberal,Neutral   5,"Yes, somewhat experienced",3.086,0
Neither Accurate nor Inaccurate (3),Like,No,3,3,82,Very Conservative,6,"No, I've never used it",116.528,0
Very Inaccurate (1),No Engagement,No,3,3,83,Prefer not to say,Neutral   5,"No, I've never used it",23.786,24.196
Very Inaccurate (1),No Engagement,No,3,3,84,Very Liberal,6,"Yes, very experienced",3.185,0
Somewhat Inaccurate (2),No Engagement,No,2,3,85,Slightly Liberal,3,"No, I've never used it",11.634,0
Somewhat Accurate (4),No Engagement,No,3,3,86,Slightly Liberal,6,"Yes, somewhat experienced",8.546,0
Very Accurate (5),No Engagement,No,3,3,87,Very Liberal,7,"Yes, somewhat experienced",16.115,0
Very Inaccurate (1),No Engagement,No,3,3,88,Very Liberal,3,"Yes, somewhat experienced",2.454,0.655
Very Inaccurate (1),No Engagement,No,3,3,89,Slightly Liberal,6,"No, I've never used it",50.355,7.849
Very Inaccurate (1),No Engagement,No,3,3,90,Slightly Liberal,2,"Yes, very experienced",3.025,0
Somewhat Inaccurate (2),Reply,No,3,3,91,Slightly Conservative,2,"Yes, very experienced",6.054,2.13
Very Inaccurate (1),No Engagement,No,1,3,92,Slightly Conservative,Neutral   5,"Yes, very experienced",7.876,17.008
Very Accurate (5),No Engagement,No,2,3,93,Very Liberal,3,"No, I've never used it",10.481,8.183
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,94,Prefer not to say,7,"Yes,  but I just started using it",12.379,6.876
Somewhat Inaccurate (2),No Engagement,No,2,3,95,Slightly Liberal,4,"Yes, somewhat experienced",13.209,5.033
Very Accurate (5),No Engagement,No,2,3,96,Slightly Liberal,Neutral   5,"No, I've never used it",21.261,1.92
Somewhat Accurate (4),Like,No,3,3,97,Very Conservative,Neutral   5,"Yes, somewhat experienced",32.969,6.702
Somewhat Accurate (4),No Engagement,No,1,3,98,Very Liberal,7,"No, I've never used it",16.032,15.332
Very Inaccurate (1),No Engagement,No,3,3,99,Very Liberal,Neutral   5,"No, I've never used it",3.263,0.75
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,100,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",5.366,2.658
Somewhat Inaccurate (2),No Engagement,No,1,3,101,Slightly Conservative,Untrustworthy 1,"Yes, somewhat experienced",3.077,0
Somewhat Inaccurate (2),No Engagement,No,2,3,102,Slightly Liberal,Neutral   5,"No, I've never used it",4.269,0
Somewhat Accurate (4),No Engagement,No,1,3,103,Slightly Liberal,3,"Yes, somewhat experienced",10.969,0
Somewhat Accurate (4),Like,No,2,3,104,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",2.175,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,105,Slightly Liberal,Untrustworthy 1,"Yes, somewhat experienced",8.102,4.247
Very Inaccurate (1),No Engagement,No,1,3,106,Very Liberal,7,"Yes, somewhat experienced",1.885,0
Somewhat Accurate (4),No Engagement,No,2,3,107,Slightly Liberal,7,"Yes, somewhat experienced",2.958,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,108,Slightly Conservative,6,"No, I've never used it",1.698,1.05
Somewhat Accurate (4),No Engagement,No,2,3,109,Prefer not to say,3,"No, I've never used it",4.968,0.892
Very Accurate (5),Like,No,1,3,110,Very Liberal,8,"Yes, very experienced",10.013,1.988
Somewhat Accurate (4),Like,No,2,3,111,Slightly Conservative,6,"Yes, somewhat experienced",6.205,3.797
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,112,Slightly Conservative,4,"Yes, somewhat experienced",5.705,0.896
Neither Accurate nor Inaccurate (3),No Engagement,No,3,3,113,Very Conservative,Untrustworthy 1,"Yes, somewhat experienced",19.977,4.828
Very Inaccurate (1),No Engagement,No,3,3,114,Slightly Liberal,7,"No, I've never used it",8.826,13.652
Very Accurate (5),No Engagement,No,2,3,115,Very Liberal,Neutral   5,"Yes,  but I just started using it",4.539,0
Somewhat Accurate (4),No Engagement,No,2,3,116,Slightly Liberal,Untrustworthy 1,"Yes, somewhat experienced",1.867,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,117,Very Liberal,Neutral   5,"Yes, somewhat experienced",8.541,6.97
Very Inaccurate (1),No Engagement,No,2,3,118,Slightly Liberal,3,"Yes, somewhat experienced",12.873,2.771
Somewhat Inaccurate (2),No Engagement,No,3,3,119,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",3.861,6.448
Very Inaccurate (1),No Engagement,No,3,3,120,Very Liberal,8,"Yes,  but I just started using it",9.068,2.001
Somewhat Accurate (4),Like,No,3,3,121,Prefer not to say,Neutral   5,"Yes, somewhat experienced",70.008,0
Very Accurate (5),Like,No,3,3,122,Slightly Liberal,7,"Yes, somewhat experienced",10.088,0
Very Inaccurate (1),No Engagement,No,3,3,123,Very Liberal,Untrustworthy 1,"No, I've never used it",3.278,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,124,Slightly Liberal,Untrustworthy 1,"No, I've never used it",11.518,7.584
Somewhat Inaccurate (2),No Engagement,No,1,3,125,Very Liberal,3,"Yes, somewhat experienced",2.617,0
Somewhat Accurate (4),No Engagement,No,1,3,126,Slightly Liberal,9,"No, I've never used it",5.356,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,127,Very Liberal,Neutral   5,"No, I've never used it",1.801,0
Very Inaccurate (1),No Engagement,No,3,3,128,Very Liberal,Neutral   5,"Yes, somewhat experienced",79.485,7.761
Somewhat Inaccurate (2),No Engagement,No,1,3,129,Very Liberal,6,"Yes, very experienced",6.135,4.042
Very Inaccurate (1),No Engagement,No,2,3,130,Slightly Liberal,Neutral   5,"No, I've never used it",1.972,0.621
Very Accurate (5),No Engagement,No,3,3,131,Very Conservative,4,"Yes, somewhat experienced",3.515,0
Very Accurate (5),Like,No,1,3,132,Slightly Liberal,6,"Yes,  but I just started using it",4.696,0
Very Inaccurate (1),No Engagement,No,1,3,133,Slightly Liberal,6,"Yes, somewhat experienced",8.694,0.898
Very Inaccurate (1),No Engagement,No,3,3,134,Slightly Liberal,Neutral   5,"No, I've never used it",8.363,5.893
Somewhat Accurate (4),No Engagement,No,1,3,135,Very Liberal,7,"No, I've never used it",14.201,1.28
Neither Accurate nor Inaccurate (3),No Engagement,No,3,3,136,Slightly Liberal,Neutral   5,"Yes, very experienced",2.675,3.737
Somewhat Accurate (4),No Engagement,No,2,3,137,Slightly Liberal,3,"Yes, somewhat experienced",2.844,0
Neither Accurate nor Inaccurate (3),No Engagement,No,3,3,138,Slightly Conservative,4,"Yes, somewhat experienced",3.23,0
Very Inaccurate (1),No Engagement,No,1,3,139,Slightly Liberal,6,"No, I've never used it",13.911,16.028
Very Inaccurate (1),No Engagement,No,2,3,140,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",6.571,0
Neither Accurate nor Inaccurate (3),No Engagement,No,3,3,141,Slightly Conservative,Neutral   5,"Yes, very experienced",22.516,12.813
Somewhat Accurate (4),No Engagement,No,1,3,142,Slightly Conservative,Untrustworthy 1,"Yes, somewhat experienced",6.31,0
Very Inaccurate (1),No Engagement,No,2,3,143,Very Liberal,Neutral   5,"Yes, somewhat experienced",3.842,2.583
Very Inaccurate (1),No Engagement,No,1,3,144,Slightly Liberal,Untrustworthy 1,"Yes, very experienced",19.157,3.479
Very Inaccurate (1),No Engagement,No,1,3,145,Very Liberal,3,"Yes, very experienced",6.752,4.027
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,146,Very Liberal,Neutral   5,"Yes, somewhat experienced",2.734,0
Very Inaccurate (1),No Engagement,No,3,3,147,Slightly Conservative,Neutral   5,"Yes,  but I just started using it",10.539,3.429
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,148,Very Conservative,3,"Yes, somewhat experienced",7.345,0
Somewhat Accurate (4),No Engagement,No,2,3,149,Slightly Conservative,4,"No, I've never used it",4.641,0
Very Inaccurate (1),No Engagement,No,2,3,150,Very Liberal,Neutral   5,"Yes, somewhat experienced",2.751,0
Very Inaccurate (1),No Engagement,No,3,3,151,Prefer not to say,Neutral   5,"Yes, somewhat experienced",11.554,4.259
Very Inaccurate (1),No Engagement,No,3,3,152,Very Liberal,4,"Yes, very experienced",13.369,14.86
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,153,Slightly Conservative,Neutral   5,"Yes, very experienced",2.238,0
Neither Accurate nor Inaccurate (3),No Engagement,No,3,3,154,Very Liberal,Neutral   5,"No, I've never used it",39.972,21.183
Somewhat Accurate (4),No Engagement,No,2,3,155,Slightly Conservative,6,"No, I've never used it",35.538,13.182
Very Inaccurate (1),No Engagement,No,3,3,156,Slightly Conservative,4,"Yes,  but I just started using it",14.789,11.685
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,157,Slightly Liberal,4,"Yes, somewhat experienced",4.874,0
Very Accurate (5),Like,No,2,3,158,Prefer not to say,4,"No, I've never used it",3.015,0
Very Inaccurate (1),No Engagement,No,3,3,159,Very Liberal,7,"No, I've never used it",15.11,1.811
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,160,Very Liberal,2,"No, I've never used it",4.692,1.209
Somewhat Inaccurate (2),No Engagement,No,3,3,161,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",2.072,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,162,Very Liberal,Untrustworthy 1,"No, I've never used it",14.99,1.918
Very Inaccurate (1),No Engagement,No,2,3,163,Prefer not to say,Neutral   5,"Yes, somewhat experienced",4.692,7.219
Very Inaccurate (1),No Engagement,No,3,3,164,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",5.579,2.99
Very Inaccurate (1),No Engagement,No,1,3,165,Very Liberal,7,"Yes, somewhat experienced",3.3,0
Very Inaccurate (1),Reply,No,3,3,166,Slightly Liberal,Neutral   5,"No, I've never used it",15.226,5.862
Very Inaccurate (1),No Engagement,No,2,3,167,Slightly Liberal,Neutral   5,"No, I've never used it",1.497,0
Very Inaccurate (1),No Engagement,No,3,3,168,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",44.402,4.556
Very Inaccurate (1),No Engagement,No,2,3,169,Very Liberal,Neutral   5,"No, I've never used it",2.487,0
Very Inaccurate (1),No Engagement,No,3,3,170,Very Liberal,6,"No, I've never used it",8.088,4.277
Somewhat Accurate (4),No Engagement,No,1,3,171,Slightly Conservative,Neutral   5,"Yes, very experienced",7.385,9.436
Somewhat Accurate (4),Retweet,No,1,3,172,Very Liberal,6,"Yes,  but I just started using it",5.447,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,173,Very Liberal,4,"No, I've never used it",9.321,9.531
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,174,Slightly Liberal,9,"No, I've never used it",24.825,15.61
Very Inaccurate (1),No Engagement,No,1,3,175,Slightly Liberal,4,"Yes, somewhat experienced",2.101,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,176,Slightly Liberal,6,"Yes, somewhat experienced",4.314,0
Somewhat Accurate (4),External Share,No,1,3,177,Slightly Conservative,Neutral   5,"No, I've never used it",5.787,0
Very Inaccurate (1),No Engagement,No,3,3,178,Very Liberal,7,"No, I've never used it",3.699,0
Very Inaccurate (1),No Engagement,No,2,3,179,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",3.219,0.622
Very Inaccurate (1),No Engagement,No,1,3,180,Very Liberal,Neutral   5,"No, I've never used it",1.74,0.74
Somewhat Accurate (4),No Engagement,No,3,3,181,Slightly Liberal,Trustworthy 10,"Yes, somewhat experienced",20.944,0
Very Inaccurate (1),No Engagement,No,2,3,182,Very Liberal,6,"Yes,  but I just started using it",35.637,1.727
Very Inaccurate (1),Reply,No,3,3,183,Very Liberal,4,"Yes, somewhat experienced",18.83,1.471
Very Inaccurate (1),No Engagement,No,3,3,184,Slightly Liberal,4,"Yes, somewhat experienced",3.389,0
Very Accurate (5),Retweet,No,1,3,185,Slightly Conservative,Untrustworthy 1,"Yes,  but I just started using it",29.064,10.898
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,186,Very Liberal,7,"No, I've never used it",2.219,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,187,Very Liberal,3,"Yes, somewhat experienced",13.337,2.278
Very Accurate (5),No Engagement,No,2,3,188,Very Liberal,7,"Yes, somewhat experienced",10.059,0
Very Inaccurate (1),No Engagement,No,2,3,189,Slightly Liberal,7,"No, I've never used it",2.855,0.528
Somewhat Inaccurate (2),No Engagement,No,1,3,190,Slightly Liberal,7,"Yes,  but I just started using it",15.827,4.764
Somewhat Inaccurate (2),No Engagement,No,1,3,191,Slightly Conservative,Neutral   5,"No, I've never used it",2.828,0
Somewhat Inaccurate (2),Reply,No,3,3,192,Slightly Liberal,2,"Yes, very experienced",2.811,0
Somewhat Inaccurate (2),No Engagement,No,3,3,193,Slightly Liberal,4,"Yes, somewhat experienced",7.267,0
Somewhat Inaccurate (2),No Engagement,No,3,3,194,Slightly Liberal,2,"No, I've never used it",9.691,3.626
Very Inaccurate (1),No Engagement,No,3,3,195,Slightly Conservative,7,"No, I've never used it",5.848,0
Somewhat Accurate (4),No Engagement,No,1,3,196,Slightly Conservative,Neutral   5,"No, I've never used it",1.61,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,197,Very Liberal,Neutral   5,"Yes,  but I just started using it",2.492,0.81
Very Inaccurate (1),Reply,No,2,3,198,Slightly Liberal,7,"Yes, somewhat experienced",7.234,2.984
Somewhat Inaccurate (2),No Engagement,No,1,3,199,Slightly Liberal,4,"Yes, somewhat experienced",4.391,0
Very Inaccurate (1),No Engagement,No,3,3,200,Very Liberal,3,"No, I've never used it",2.205,0
Somewhat Accurate (4),External Share,No,1,3,201,Slightly Conservative,7,"Yes,  but I just started using it",28.436,4.894
Neither Accurate nor Inaccurate (3),No Engagement,No,1,3,202,Slightly Liberal,7,"No, I've never used it",2.82,0.877
Somewhat Accurate (4),No Engagement,No,2,3,203,Slightly Liberal,Neutral   5,"No, I've never used it",6.392,0
Very Inaccurate (1),External Share,No,1,3,204,Slightly Conservative,4,"No, I've never used it",7.13,1.674
Somewhat Inaccurate (2),External Share,No,1,3,205,Very Liberal,4,"Yes, somewhat experienced",3.161,0
Somewhat Accurate (4),No Engagement,No,1,3,206,Very Liberal,3,"Yes,  but I just started using it",7.242,1.682
Very Inaccurate (1),No Engagement,No,1,3,207,Very Liberal,Neutral   5,"Yes, somewhat experienced",17.192,9.133
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,208,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",14.954,12.245
Somewhat Accurate (4),No Engagement,No,2,3,209,Slightly Conservative,Neutral   5,"No, I've never used it",101.191,0
Very Inaccurate (1),No Engagement,No,3,3,210,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",10.184,2.493
Very Inaccurate (1),No Engagement,No,1,3,211,Very Liberal,Neutral   5,"No, I've never used it",4.162,0
Very Inaccurate (1),No Engagement,No,3,3,212,Very Liberal,6,"Yes, somewhat experienced",3.252,0
Somewhat Accurate (4),Retweet,No,1,3,213,Slightly Conservative,6,"Yes, somewhat experienced",3.464,0
Somewhat Inaccurate (2),No Engagement,No,2,3,214,Slightly Liberal,3,"No, I've never used it",4.765,0
Somewhat Inaccurate (2),No Engagement,No,1,3,215,Very Liberal,6,"Yes, somewhat experienced",49.398,0.985
Somewhat Inaccurate (2),No Engagement,No,2,3,216,Very Liberal,Neutral   5,"No, I've never used it",29.787,10.655
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,217,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",3.335,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,3,218,Very Liberal,4,"Yes, somewhat experienced",3.843,0.799
Somewhat Accurate (4),Retweet,No,2,3,219,Very Conservative,6,"Yes, somewhat experienced",4.332,0
Somewhat Accurate (4),No Engagement,No,2,3,220,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",21.542,15.696
Very Accurate (5),Retweet,No,1,3,221,Very Conservative,Neutral   5,"Yes, somewhat experienced",13.2,0
